,beds,county,house_address,house_type,price
13,4 Bed,cavan,"24 Percy French Place, Ballyjamesduff, Co. Cavan",House,1100.0
14,3 Bed,cavan,"Ballinagh1, Ballinagh, Co. Cavan",House,1200.0
18,3 Bed,cavan,"Amberwood, Ballyconnell, Co. Cavan",House,900.0
53,4 Bed,donegal,"Mountain Top area
Letterkenny, Letterkenny, Co. Donegal",House,1250.0
55,4 Bed,donegal,"20 White Maple Avenue, Bundoran, Co. Donegal",House,1200.0
58,4 Bed,donegal,"57 Thornberry, Letterkenny, Co. Donegal",House,1100.0
59,3 Bed,donegal,"21 Foxhills, Letterkenny, Co. Donegal",House,950.0
63,3 Bed,donegal,"Drumnaskea, Letterkenny, Co. Donegal",House,850.0
64,3 Bed,donegal,"West port, Ballyshannon, Co. Donegal",House,850.0
65,3 Bed,donegal,"Birchill Upper, Creeslough, Co. Donegal",House,800.0
136,3 Bed,leitrim,"main street, Keshcarrigan, Co. Leitrim",House,950.0
138,3 Bed,leitrim,"12 Castle Street, Manorhamilton, Co. Leitrim",House,770.0
141,3 Bed,leitrim,"4, River Meadow, Dromod, Co. Leitrim",House,1000.0
146,3 Bed,leitrim,"Cully Cottage
Cully,
Garadice
Co Leitrim, Ballinamore, Co. Leitrim",House,1200.0
185,3 Bed,mayo,"Carrownahaltore, Ballyglass, Co. Mayo",House,900.0
187,3 Bed,mayo,"Orchard court, Ballina, Co. Mayo",House,900.0
188,3 Bed,mayo,"6 Clew Bay Cottage, Mulranny, Co. Mayo",House,1000.0
189,4 Bed,mayo,"Sarsfield Crescent, Charlestown, Co. Mayo",House,1200.0
190,3 Bed,mayo,"Killimor, The Neale, Neale, Co. Mayo",House,680.0
193,3 Bed,mayo,"SHRAIGH HILL, BUNNAHOWEN, Belmullet, Co. Mayo",House,800.0
196,3 Bed,mayo,"Sarsfield Cresent, Charlestown, Co. Mayo",House,1000.0
198,4 Bed,mayo,"12A Cuan Oisri, Belmullet, Co. Mayo",House,1000.0
224,3 Bed,roscommon,"15 Brooklawn, Ballaghaderreen, Co. Roscommon",House,950.0
225,3 Bed,roscommon,"Cherrytrees, Kilbride, Carrick-on-Shannon, Co. Roscommon",House,900.0
227,3 Bed,roscommon,"Kildangan, Ballaghaderreen, Co. Roscommon",House,800.0
228,4 Bed,roscommon,"Cloonycolgan, Roscommon F42 RH99, Roscommon Town, Co. Roscommon",House,1100.0
230,3 Bed,roscommon,"Laragh, Ballintubber, Co. Roscommon",House,1100.0
232,4 Bed,roscommon,"Shannon Valley, Tarmonbarry, Co. Roscommon",House,1200.0
233,3 Bed,roscommon,"Moore, Athlone, Co. Roscommon",House,1400.0
236,4 Bed,sligo,"10 beechwood court, oldbundoran Road, Sligo, Co. Sligo",House,1400.0
239,3 Bed,sligo,"22 Ashbrook, Collooney, Co. Sligo",House,1200.0
241,4 Bed,sligo,"63. The Fairways, Tubbercurry, Co. Sligo",House,1200.0
242,3 Bed,sligo,"43 Cahermore Holiday Village, Enniscrone, Co. Sligo",House,1000.0
243,4 Bed,sligo,"Meadow Brook Mountain Road, Tubbercurry, Co. Sligo",House,900.0
