,beds,county,house_address,house_type,price
1,4 Bed,carlow,"Wolseley park, Tullow, Co. Carlow",House,2000.0
3,3 Bed,carlow,"Ballynattin, Borris, Co. Carlow",House,1100.0
6,4 Bed,cavan,"117 College St, Cavan, Co. Cavan",House,1600.0
7,3 Bed,cavan,"3 Claremont Cockhill h12 wa44, Cavan, Co. Cavan",House,2000.0
16,3 Bed,clare,"Lisheen, Ballynacally, Co. Clare",House,1500.0
18,3 Bed,clare,"Finian Park, Shannon, Co. Clare",House,1300.0
23,3 Bed,clare,"Main Street, Kilmihil, Co. Clare",House,800.0
24,4 Bed,clare,"1 Rathbán, Tulla road, Ennis, Co. Clare",House,1300.0
25,3 Bed,cork,"Lower Farran, Farran, Co. Cork",House,2000.0
26,4 Bed,cork,"Kilcully, Rathpeacon, Co. Cork",House,1325.0
27,3 Bed,cork,"12 Silverwood, Ballintemple, Co. Cork",House,1731.0
28,4 Bed,cork,"1 Heatherton Park, South Douglas Road, Douglas, Co. Cork",House,1650.0
29,4 Bed,cork,"Beauvoir, Cork Road, Carrigaline, Co. Cork",House,1700.0
31,3 Bed,cork,"Kingsbury, Douglas East, Douglas, Co. Cork",House,1463.0
34,3 Bed,cork,"Glashaboy East, Carrignavar, Co. Cork",House,1200.0
37,4 Bed,donegal,"Mountain Top area
Letterkenny, Letterkenny, Co. Donegal",House,1250.0
38,4 Bed,donegal,"48 Thornberry, Letterkenny, Co. Donegal",House,1200.0
40,4 Bed,donegal,"The Grange, Glencar, Letterkenny, Co. Donegal",House,1300.0
42,3 Bed,donegal,"33 parkview drive, gortlee, Letterkenny, Co. Donegal",House,1250.0
43,3 Bed,donegal,"Creesloughbeg, Creeslough, Co. Donegal",House,950.0
44,3 Bed,donegal,"44 Whitethorn Grove, Letterkenny, Co. Donegal",House,1000.0
45,3 Bed,donegal,"Birchill Upper, Creeslough, Co. Donegal",House,800.0
47,3 Bed,donegal,"12 cannon view letterkenhy , Letterkenny, Co. Donegal",House,900.0
50,4 Bed,donegal,"Magheraclogher, Derrybeg, Co. Donegal",House,850.0
51,4 Bed,donegal,"94 Ashfield, Letterkenny, Co. Donegal",House,1100.0
52,4 Bed,donegal,"6 Admiran Park, Stranorlar, Co. Donegal",House,950.0
55,4 Bed,donegal,"20 White Maple Avenue, Bundoran, Co. Donegal",House,1200.0
65,3 Bed,galway,"Apartment 118, Sraith Fhada, Doughiska, Co. Galway",House,2200.0
66,3 Bed,galway,"Lavally, Craughwell, Co. Galway",House,1500.0
67,4 Bed,galway,"Tuam, Co. Galway",House,1500.0
68,3 Bed,galway,"Millbrook, Milltown, Co. Galway",House,1200.0
69,4 Bed,galway,"Birmingham, Tuam, Co. Galway",House,1500.0
73,3 Bed,galway,"Ros Caoin, Roscam, Co. Galway",House,1600.0
75,4 Bed,galway,"Boireann Bheag, Roscam, Co. Galway",House,2000.0
80,3 Bed,kerry,"24 Ardmoniel Heights, Killorglin, Co. Kerry",House,1300.0
81,3 Bed,kerry,"5 Beechwood Grove, Gortagass, Kenmare, Co. Kerry",House,2500.0
82,4 Bed,kerry,"Clogher, Lixnaw, Co. Kerry",House,900.0
83,3 Bed,kerry,"28 Cois Laoi, Tralee, Co. Kerry",House,1500.0
84,3 Bed,kerry,"The Paddocks, Fenit, Co. Kerry",House,1750.0
85,4 Bed,kerry,"Clanderry, Causeway, Co. Kerry",House,900.0
87,4 Bed,kerry,"Sunnyhill lower , Killarney, Co. Kerry",House,2000.0
89,4 Bed,kerry,"Coolick
Kilcummin, Killarney, Co. Kerry",House,1300.0
90,3 Bed,kerry,"Ballygarron, Spa, Tralee, Co. Kerry",House,1500.0
94,3 Bed,kildare,"The Way, Craddockstown, Naas, Co. Kildare",House,1400.0
95,3 Bed,kildare,"Priory Chase, Celbridge, Co. Kildare",House,1900.0
96,3 Bed,kildare,"Clonshanbo, Donadea, Naas, Co. Kildare",House,2100.0
97,4 Bed,kildare,"5 Kilbelin Lawns, Newbridge, Co. Kildare",House,2500.0
99,3 Bed,kildare,"Meadowbrook Dr 1A, Maynooth, Co. Kildare",House,989.0
102,4 Bed,kildare,"11 Cnoc Na Greine Woods, Kilcullen, Co. Kildare",House,1800.0
104,3 Bed,kildare,"The Glen, Celbridge, Co. Kildare",House,1455.0
105,4 Bed,kildare,"1A The Crescent, Riverside Manor, Kilcullen, Co. Kildare",House,1900.0
112,3 Bed,kilkenny,"Ballyspellan, Johnstown, Co. Kilkenny",House,850.0
115,3 Bed,kilkenny,"Killeen, Mullinavat, Co. Kilkenny",House,1800.0
118,3 Bed,kilkenny,"Balief, Clonmantagh, Co. Kilkenny",House,1200.0
124,4 Bed,leitrim,"Lisnagot, Carrick on Shannon, Carrick-on-Shannon, Co. Leitrim",House,1400.0
125,3 Bed,leitrim,"main street, Keshcarrigan, Co. Leitrim",House,950.0
128,3 Bed,leitrim,"4, River Meadow, Dromod, Co. Leitrim",House,1000.0
139,4 Bed,limerick,"Curraheen, Askeaton, Co. Limerick",House,1550.0
143,4 Bed,limerick,"Drombanna, Co. Limerick",House,2300.0
149,3 Bed,louth,"Edentober, Dundalk, Co. Louth",House,1400.0
152,3 Bed,louth,"4 Peter Street, Dundalk, Co. Louth",House,1500.0
153,4 Bed,louth,"62 glenwood, Dundalk, Co. Louth",House,1400.0
160,4 Bed,louth,"9 Carlinn Heath, Mullaharlin Road, Dundalk, Co. Louth",House,1700.0
162,3 Bed,louth,"35 Stamanaran, Old Golf Links Road, Blackrock, Co. Louth",House,1750.0
163,4 Bed,louth,"The Towers, Point Road, Dundalk, Louth, Co. Louth",House,2400.0
166,4 Bed,mayo,"Sarsfield Crescent, Charlestown, Co. Mayo",House,1200.0
167,4 Bed,mayo,"26 Fairways, Castlebar, Co. Mayo",House,1650.0
169,3 Bed,mayo,"Belderrig, Ballina, Belderrig, Co. Mayo",House,650.0
172,3 Bed,mayo,"18 Ashwood Glade, Westport, Co. Mayo",House,1150.0
173,3 Bed,mayo,"Riverwalk, Crossmolina, Co. Mayo",House,1000.0
176,3 Bed,mayo,"SHRAIGH HILL, BUNNAHOWEN, Belmullet, Co. Mayo",House,800.0
